party_id,name,name_ar,ideology,founded,leader_2021,leader_current,color,official_slogan
P001,RNI,التجمع الوطني للأحرار,Liberal pro-business,1978,Aziz Akhannouch,Aziz Akhannouch,#f4a100,
P002,PAM,حزب الأصالة والمعاصرة,Centrist modernist,2008,Abdellatif Ouahbi,Abdellatif Ouahbi,#1f77b4,
P003,Istiqlal,حزب الاستقلال,Conservative nationalist,1944,Nizar Baraka,Nizar Baraka,#d62728,Watani Mousta9bali
P004,PJD,حزب العدالة والتنمية,Islamist conservative,1992,Saad Eddine El Othmani,Abdelilah Benkirane,#2ca02c,"Pour la dignité du citoyen : consacrer le droit à une éducation de qualité, à une couverture sanitaire effective, à un emploi décent et à une société solidaire"
P005,USFP,الاتحاد الاشتراكي للقوات الشعبية,Social-democratic,1975,Driss Lachguar,Driss Lachguar,#e377c2,"Équité, emploi, dignité : pour un développement équitable et une vie digne"
P006,MP,الحركة الشعبية,Rural Amazigh,1957,Mohamed Ouzzine,Mohamed Ouzzine,#8c564b,
P007,PPS,حزب التقدم والاشتراكية,Left,1974,Nabil Benabdallah,Nabil Benabdallah,#9467bd,AUCUN
P008,UC,الاتحاد الدستوري,Centre-right liberal,1983,Mohamed Sajid,FILL,#17becf,
P009,Others,أحزاب أخرى,Other,,, ,#9a9a9a,
P010,MDS,الحركة الديمقراطية والاجتماعية,Democratic-social (left),1996,FILL,FILL,#e6ab02,
P011,FFD,جبهة القوى الديمقراطية,Left democratic,1997,FILL,FILL,#08519c,
P012,CNI,المؤتمر الوطني الاتحادي,Left-centre unionist,2001,FILL,FILL,#6a3d9a,
P013,PSU,الحزب الاشتراكي الموحد,United socialist,2005,FILL,FILL,#fb9a99,
P014,Alliance de la gauche,تحالف اليسار,Left electoral coalition (PSU + FGD),2026,,Jamal El Asri / Abdeslam Laaziz,#b2182b,"La dignité d'abord — pour un Maroc démocratique, productif et juste"
P015,Parti de l'Equité (PE),,FILL,2018,,,#7f7f7f,
P016,Parti Marocain Libéral (PML),,FILL,2017,,,#ff7f0e,
P017,Parti des Verts Marocains (PVM),,FILL,2016,,,#bcbd22,
P018,PARTI DES NEO-DEMOCRATES,,FILL,2014,,,#17becf,
P019,PGV. Parti de la Gauche Verte,,FILL,2010,,,#e377c2,
P020,PARTI AL AHD ADDIMOQRATI,,FILL,2009,,,#aec7e8,
P021,PARTI DEMOCRATE NATIONAL,,FILL,2009,,,#98df8a,
P022,PARTI DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,FILL,2009,,,#ffbb78,
P023,PARTI DE L'UNITE ET DE LA DEMOCRATIE,,FILL,2008,,,#c5b0d5,
P024,PARTI DE LA SOCIETE DEMOCRATIQUE(PSD),,FILL,2007,,,#c49c94,
P025,UNION MAROCAINE POUR LA DEMOCRATIE (UMD),,FILL,2006,,,#f7b6d2,
