leader,party_id,role,tenure,achievements,ownership,reported_wealth,ostensible_motive,conflicts,skin_in_game,source_ids,confidence
Aziz Akhannouch,P001,Head of Government,2021-,Launched social-protection generalization; Green Morocco Plan,"Akwa Group (Afriquia fuels, Maghreb Oxygene), media stakes",Forbes-listed billionaire (VERIFY),Economic modernization and investment climate,Energy-market interests overlap with ministerial portfolios,0.35,S093 S094 S095 S096,HIGH
Abdellatif Ouahbi,P002,Minister of Justice,2021-,Alternative-sentencing reform; women's guardianship reform,"Founder, Ouahbi law firm",Undisclosed,Women's emancipation and justice reform,2023 bar-exam scandal (children passed at ~2% pass rate),0.6,S135 S136 S098 S099,HIGH
Nizar Baraka,P003,Secretary General / Minister of Equipment and Water,2017-,Finance Minister of the Year (2012); seawater-desalination drive,None documented,Undisclosed,Water security and infrastructure modernization,2026 leaked-document land-purchase claim (denied),0.7,S137 S138 S101 S102,MEDIUM
Saad Eddine El Othmani,P004,Head of Government,2017-2021,COVID-19 vaccination campaign; social-protection framework law,Private psychiatric practice,Self-declared modest (one villa + family home),Gradualist Islamist governance and coalition stability,None documented (2019 villa claim denied),0.55,S139 S140 S104 S105,HIGH
Abdelilah Benkirane,P004,Head of Government / Secretary General,2011-2017,First PJD-led coalition government (2011 constitution); subsidy reform,None documented,Self-declared modest; exceptional pension + gifted car,Anti-corruption populism,Criticized over pension/gifted car vs probity platform,0.5,S141 S142 S107 S108,HIGH
Driss Lachguar,P005,First Secretary,2012-,Chaired CIH bank-scandal inquiry (2000-01); four terms as First Secretary,Lawyer; son's firm MELA STRATEGIE & CONSEIL,Undisclosed,Social-democratic renewal,Court of Accounts: son's firm got party-funded contracts,0.6,S143 S144 S110 S111,HIGH
Mohamed Ouzzine,P006,Secretary General,2022-,First MP leadership change in 36 years; sport federation reform,None documented (one mortgaged apartment),Self-declared modest,Rural and Amazigh representation,None documented,0.65,S145 S146 S011 S113,HIGH
Nabil Benabdallah,P007,Secretary General,2010-,Cities Without Slums (54 cities); four terms as Secretary General,Translation firm; ex-director of PPS newspapers,Undisclosed,Progressive-left platform,None documented,0.6,S147 S148 S115 S116,HIGH
Mohamed Joudar,P008,Secretary General,2022-,Reorganized UC after 6th congress; Constitutional Court seat (2026),None documented,Undisclosed,Consolidating UC's political standing,None documented,0.4,S117 S118 S119 S120,HIGH
Abdessamad Archane,P010,Secretary General,2022-,Three consecutive terms as MP (Tiflet-Rommani),None documented,Undisclosed,Development and social stability,None documented,0.4,S149 S150 S122 S123,MEDIUM
Mustapha Benali,P011,Secretary General,2017-,Founding member; constitutional-law academic,None documented,Undisclosed,"Dignity, sovereignty and social justice",Internal leadership dispute (dissident claims title),0.3,S151 S152 S125 S126,MEDIUM
Abdeslam Laaziz,P012,Secretary General,2006-2022 (CNI); 2022- (FGD),Steered CNI into the 2022 FGD merger,None documented,Undisclosed,Social justice and left-wing unity,None documented,0.5,S153 S154 S128 S129,MEDIUM
Jamal El Asri,P013,Secretary-General,2023-,Elected Secretary-General (2023); leads PSU-FGD Left Alliance,None documented,Undisclosed,Social justice and parliamentary monarchy,None documented,0.3,S155 S156 S131 S132,HIGH
