theme_id,label,group,definition
employment,Jobs & employment,Economy,"Job creation, unemployment rate targets, labour-market insertion, vocational placement"
industry,Industry & productive sovereignty,Economy,"Domestic production, industrial policy, exports, local content, strategic sectors"
sme,"SMEs, entrepreneurship & investment",Economy,"Very small and small firms, startups, microcredit, investment finance, public procurement access"
wages,Wages & purchasing power,Economy,"SMIG/SMAG, salaries, direct cash transfers, middle-class income, social tariffs"
tax,Taxation & fiscal justice,Economy,"Income and corporate tax, exemptions and thresholds, progressive or solidarity taxation"
prices,"Cost of living, food & markets",Economy,"Food prices, speculation and intermediaries, wholesale markets, strategic stocks"
health,Health & medical coverage,Social,"Hospitals and staff, AMO, prevention, medicines, addiction and drug policy"
social,Social protection & pensions,Social,"Social-security generalization, family allowances, retirement, poverty safety net"
education,School education,Social,"Teachers, classrooms, curriculum and languages, dropout, pre-school, vocational training"
research,Higher education & research,Social,"Universities, research budget, student grants, graduate insertion, doctoral posts"
family,"Children, family & youth",Social,"Child protection and allowances, family cohesion, youth services and youth inclusion"
women,Women's rights & equality,Social,"Parity, female labour participation, legal equality between spouses, gender-based violence"
housing,"Housing, transport & local services",Social,"Social housing, public transport, neighbourhood facilities and local public services"
water,Water & food security,Environment,"Desalination, network losses, irrigation water, food self-sufficiency"
energy,Energy & renewables,Environment,"Renewable share of electricity, energy bill, energy sovereignty"
rural,Rural development & territorial equity,Territory,"Rural services and roads, small farmers, regional public investment, decentralisation"
governance,Governance & anti-corruption,Governance,"Conflict of interest, rent and monopoly, sanctions and oversight, rights and accountability"
digital,Digital administration,Governance,"E-government, digitalisation of procedures, sovereign cloud, digital targeting of aid"
identity,"Identity, Amazigh & languages",Identity,"Amazigh officialisation and teaching, national identity, language of instruction"
culture,"Culture, sport & leisure",Identity,"Cultural budget, cinemas, theatres, libraries, sport facilities, youth leisure"
diaspora,Moroccan diaspora (MRE),Identity,"Moroccans living abroad: property, administrative single window, students abroad"
